index ,code        ,current     ,time
  150 ,000108.XSHG , 12838.7081 ,2024-03-19 15:00:00
  151 ,000109.XSHG , 10583.7348 ,2024-03-19 15:00:00
  152 ,000110.XSHG ,  3024.7024 ,2024-03-19 15:00:00
  153 ,000111.XSHG ,  6088.167  ,2024-03-19 15:00:00
  154 ,000112.XSHG ,  4769.56   ,2024-03-19 15:00:00
  155 ,000113.XSHG ,  2575.5568 ,2024-03-19 15:00:00
  156 ,000114.XSHG ,  1287.7028 ,2024-03-19 15:00:00
  157 ,000115.XSHG ,  6915.3562 ,2024-03-19 15:00:00
  158 ,000116.XSHG ,   188.089  ,2024-03-19 15:00:00
  159 ,000117.XSHG ,  3722.0847 ,2024-03-19 15:00:00
  160 ,000118.XSHG ,  8500.3919 ,2024-03-19 15:00:00
  161 ,000119.XSHG ,  3508.219  ,2024-03-19 15:00:00
  162 ,000120.XSHG ,  7655.4374 ,2024-03-19 15:00:00
  163 ,000121.XSHG ,  8608.1902 ,2024-03-19 15:00:00
  164 ,000122.XSHG ,  1588.3539 ,2024-03-19 15:00:00
  165 ,000123.XSHG ,  4978.8791 ,2024-03-19 15:00:00
  166 ,000125.XSHG , 10181.8486 ,2024-03-19 15:00:00
  167 ,000126.XSHG ,  8371.5349 ,2024-03-19 15:00:00
  168 ,000128.XSHG ,  7436.0719 ,2024-03-19 15:00:00
  169 ,000129.XSHG , 13106.9881 ,2024-03-19 15:00:00
  170 ,000130.XSHG , 11323.2852 ,2024-03-19 15:00:00
  171 ,000131.XSHG ,  1989.4948 ,2024-03-19 15:00:00
  172 ,000132.XSHG ,  5290.863  ,2024-03-19 15:00:00
  173 ,000133.XSHG ,  4348.4437 ,2024-03-19 15:00:00
  174 ,000134.XSHG ,   774.4517 ,2024-03-19 15:00:00
  175 ,000135.XSHG ,  4502.0774 ,2024-03-19 15:00:00
  176 ,000136.XSHG , 11353.67   ,2024-03-19 15:00:00
  177 ,000137.XSHG ,  3891.3564 ,2024-03-19 15:00:00
  178 ,000138.XSHG ,  6668.7014 ,2024-03-19 15:00:00
  179 ,000139.XSHG ,   345.08   ,2024-03-19 15:00:00
  180 ,000141.XSHG ,  3007.8125 ,2024-03-19 15:00:00
  181 ,000142.XSHG ,  8138.6454 ,2024-03-19 15:00:00
  182 ,000145.XSHG ,  5343.0982 ,2024-03-19 15:00:00
  183 ,000146.XSHG ,  6339.7893 ,2024-03-19 15:00:00
  184 ,000147.XSHG ,  7227.063  ,2024-03-19 15:00:00
  185 ,000148.XSHG ,  7835.7643 ,2024-03-19 15:00:00
  186 ,000149.XSHG ,  3369.9711 ,2024-03-19 15:00:00
